Word,Frequency
na ciência ): em vez de fazer algo ser grande de novo,2
primus qui horas repperit quique adeo primus statuit hie solarium,1
3 conclusions ............................................................................................................................... 144 afterword ........................................................................................................................................ 147 references ...................................................................................................................................... 150 1,1
instituto brasileiro de informação em ciência e tecnologia,1
open science hardware ................................................................................. 69 open science hardware ................................................................................................................ 71 science artisans,1
open hormones public .............................................................................. 78 open hormones public rituals ..................................................................................................... 79 3,1
"""κατανόημά χρηματιστικόν — money making tool ),’ described also literally""",1
open science hardware ................................................................... 62 autotelic prototypes ..................................................................................................................... 63 saving agency,1
epicurean technologies ................................................................................................ 88 science artisans designing open futures ..................................................................................... 89 3,1
homo ludens .................................................................................................. 105 references ...................................................................................................................................... 108 4,1
critique .................................................................................. 20 advantageous contraption ........................................................................................................... 21 hungry parasites,1
individual artisan (' artifi cis manum ’),1
daphniaology 56 quartz crystal microbalance official website,1
modern thaleses ........................................................................................... 72 idiosyncratic prototypes ............................................................................................................... 72 emancipatory,1
"""single board linux computer ,"""" accessed december 12""",1
even geological interventions operates behind every electronic component,1
arduino blog » blog archive » arduino goes,1
"""extat ,/ et quae sponsa fuit""",1
latin ‘ commonplace ’ book attic nights,1
jam tibi sponsus erit ).’ chroniclers,1
bio /; open source meteorological station wiki documentation,1
"""rozas et al ., 2021 ), sandboxes allow tactical""",1
open_source_scientific_hardware 39 generic lab equipment documentation website,1
laboratório interdisciplinar em inofrmação e conhecimento,1
fixed_sensor 52 smart citizen science platform official website,1
6 11 open public lab tools https :// publiclab,1
"""mantis shrimp invention ,"""" accessed december 12""",1
thales ’ 6th century bce ‘ predictive analytics ’,1
purely alchemical ‘ element glass ’ showing,1
"""materialized tools ,’( ibid ..) supporting cross""",1
open hardware communitas around 3d printing experienced something turner describes,1
20th century supported collectivist fantasies claiming historical missions,1
‘ perpetually moving chemical microcosms ’( keller,1
"""3 – 4 ), 559 – 570""",1
"""‘ biostrike ’ 26 projects ), basic design explorations""",1
"""brennan et al ., 2019 ), smart cities""",1
12 gongkai phone « bunnie ’,1
safecast geiger counter reference design « bunnie ’,1
clock (‘ archimedean sphere ’) thus encourages,1
‘ preferably different rooms like palace shops,1
algorithmic rule .......................................................... 142 exploratory sandbox supporting tactical,1
science artisans designing open futures open science hardware instruments support individual,1
‘ hungry parasites ’ trope describe neither heroic,1
"""jeong choi et al ., 2020 ).""",1
plat .+ theaet .+ 174a polanyi,1
"""smarter cities ,"""" accessed december 12""",1
1 – 2 ): 109 – 29,1
"""solar pocket factory ,"""" accessed december 12""",1
become ‘ hungry parasites ’ whose plea plautus captured,1
‘ generic lab equipment ’ 39 project,1
new drugs closely followed various nonutilitarian explorations,1
"""‘ exits ’, ‘ singularities ’, etc""",1
experimental algorithmic citizenship ........................................... 136 ethical frameworks,1
"""gone kit ,"""" accessed december 12""",1
‘ friendly ’ patent owner benefited,1
phage research (‘ bicommons ’ 25,1
"""watt kit ,"""" accessed december 12""",1
biopolitical health policies representing another homo faber project,1
"""ratto et al ., 2014 ), various calls""",1
source geiger counters helping grassroots radiation monitoring,1
"""02 ), 525 -. https :// doi""",1
bornitz ’ political artisan designs ‘ body politics ’,1
"""haddock invention ,"""" accessed december 12""",1
328 40 gynepunk offcial documentation website,1
"""jeong choi et al ., 2020""",1
like operating system mix ‘ divergent political,1
new patented technology created many ‘ shades ’,1
"""wofford et al ., 2020 ), regtech""",1
insulin 45 open insulin project official website,1
mobile angkringan laboratory enabled molecular gastronomy experiments,1
gaudilabs youtube channel documented strange uses ranging,1
"""gesi search ,"""" accessed december 12""",1
announced algorithmic governance ........................................ 127 democratic future,1
umbrella term ‘ bioautonomy ’ 74,1
‘ heterogenous phenomena ’: ‘ paradigms obey,1
living instruments ..................................................................... 37 artisan instruments versus tools,1
‘ public ’ science instruments often explore surprising functions,1
include 31 bryan bishop official website,1
project ‘ open source estrogen ’ thus explores,1
"""buterin 2014 ), ‘ high powered cognitive technologies""",1
pd_microscope 55 gel electrophoresis apparatus used,1
"""windcell ,"""" accessed december 12""",1
amino one desktop biolab official website,1
open hardware facilitation company targeting eu,1
june 2018 ): 97 – 111,1
kairos makes patrons ‘ godlike world transformers ’,1
still open source tools ‘ ritualize social,1
renaissance prototypes also echo thales ’ gesture,1
always include exploitative ‘ happiness labor ’,1
‘ open source estrogen ’ project connect science,1
proc boston colloq anc phil,1
promissory prototypes .............................................................................. 85 prototypes serving labor,1
extreme algorithmic life ........................................................................... 134 contact language,1
"""ppa ), electronics industry citizenship coalition""",1
future blockchain services without ‘ hardcoding ’,1
witty thracian servant girl ’,1
algorithmic governance often discusses broad epistemological questions,1
capricious gods would occasionally commit transgressions,1
"""kroll et al ., 2017 ),""",1
thales ’ monopoly contraption (‘ model ’ based,1
"""akkoyunlu et al ., 1975 ).""",1
digital interactivity ): https :// cocomake7,1
"""wirtz et al ., 2019 ),""",1
"""lamport et al ., 1982 ).""",1
"""kera et al ., 2013 ), attempts""",1
"""ausareny et al ., 2014 ).""",2
public sandbox .................................................................................................. 132 trading zone,1
google search results shows citizens exploring sustainable scenarios,1
"""arner et al ., 2018 ),""",1
"""aggregated data ), even though neither chronos""",1
meterreological station http :// cta,1
open hardware communitas .................................................................. 100 makers,1
"""seyfried et al ., 2014 ).""",2
famous 1982 ‘ byzantine general problem ’,1
safecast radiation monitoring devices official webite,1
"""selin et al ., 2016 ),""",1
"""reijers et al ., 2016 ).""",1
5 ): 662 – 79,1
"""karvonen et al ., 2018 ).""",1
"""biotechnology ,"""" accessed december 12""",1
43 open insulin project official website,1
"""greek para -, meaning ‘ next""",1
"""‘ mother earth ’, bringing echoes""",1
"""2 ), show sociotechnical hybrids bridging various divides""",1
"""caragliu et al ., 2011 ).""",1
"""et al ., 2019 ), oversight""",1
distributed computing thought experiments included gangster stories,1
"""trump et al ., 2018 ).""",1
‘ proper proportion ’ referring,1
‘ open source estrogen ’ 15 project,1
chapter openly challenge institutionalized women health policies,1
experimentando .” liinc em revista,1
bridging divides ........................................................................... 80 demarcating science,1
"""play ‘ acharnias ’, aristophanes captures""",1
"""external world ‘ ecstatically ’, playfully""",1
"""octo23 ,"""" accessed december 12""",1
"""johnson et al ., 2008 ).""",1
"""makerbot ,"""" accessed december 12""",1
4th century bce triggered familiar complaints,1
"""mittelstadt et al ., 2016 ).""",1
"""lindtner et al ., 2016 ),""",1
wicker man ........................................ 141 political metaphors,1
algorithmic ‘ leviathans ’ outsource citizen agency,1
2 ): 175 – 91,1
3 ): 394 – 412,1
1 ): 108 – 33,1
griffith university law school research paper,1
fountain automata producing artificial rainbows performed,1
"""6 ), 448 – 455""",1
"""6 ), 429 – 441""",1
"""awad et al ., 2018 ).""",1
performing molecular gastronomy spherification techniques,1
revolutionary algorithms discussed social interactions without historical,1
spirituall weapon ’ employed ‘,1
"""5 ), 782 – 796""",1
"""5 ), 543 – 560""",1
‘ without contradictions ...’ without depth,1
"""unequally distributed ‘ futures ’, including""",1
schmitt quotes ernst jünger ’,1
experimental algorithmic citizenship involved continuous deliberation upon,1
gynepunk prototype repositories also include political actions,1
"""2 ), 96 – 105""",2
"""saurwein et al ., 2015 ).""",1
"""1 ), 117 – 131""",1
makerspaces revolving around open source hardware,1
"""lamport et al ., 1982""",2
‘ open insulin project ’ 43,1
three hormone hacking projects supported communities seeking,1
1 ): 93 – 117,1
"""2018 ), adversarial public ai system proposals""",1
hax incubated numerous consumer products,1
"""friedman et al ., 2002 ).""",1
‘ nature often brings forth something new,1
short ‘ automated ’ speeches overtook,1
public sandboxes ....................................................... 103 homo faber,1
science artisans mock silicon valley cliches,1
"""7 ), 596 – 615""",1
"""7 ), 1941 – 1972""",1
"""48 ), 13538 – 13540""",1
practical reason ........................ 117 experimental governance,1
"""kera et al ., 2019 ).""",1
democratize various ‘ open ’ laboratory instruments,1
"""4 ), 840 – 847""",1
"""4 ), 727 – 734""",1
"""4 ), 543 – 556""",1
"""4 ), 526 – 533""",1
"""4 ), 489 – 509""",1
"""4 ), 455 – 469""",1
"""4 ), 427 – 453""",1
"""4 ), 252 – 260""",3
automated body politic ................................................................. 23 2,1
mysterious ‘ blindness ’ attributed,1
byzantine generals ............................................................................. 123 blockchain governance,1
6 ): 35 – 49,1
"""kroll et al ., 2016""",1
15 open source estrogen official documentation,1
"""kera et al ., 2013 ).""",2
"""landrain et al ., 2013""",2
"""2 ), 308 – 323""",1
"""2 ), 256 – 257""",1
"""2 ), 241 – 264""",1
"""2 ), 238 – 258""",1
"""2 ), 228 – 247""",1
"""2 ), 177 – 185""",1
"""2 ), 145 – 167""",1
"""10 ), 525 – 527""",1
"""3 ), 426 – 430""",1
"""3 ), 371 – 390""",1
"""3 ), 245 – 268""",1
"""3 ), 245 – 260""",1
"""3 ), 1127 – 1155""",1
left ‐ accelerationism .” constellations,1
"""1 ), 140 – 143""",1
"""krohn et al ., 1981""",1
"""6 ), 548 – 551""",1
‘ partially compromised ’ prototypes prone,1
source pcr thermocycler official website,1
accused silicon valley ‘ sophists ’,1
"""sloane et al ., 2020""",1
"""fjeld et al ., 2020""",1
"""aitken et al ., 2020""",1
1 ): 77 – 92,1
‘ open ’ insulin prototype showed,1
"""bromberg et al ., 2017""",1
garages ..................................................................................... 98 sociotechnical rites,1
homo faber blindness add something important,1
"""1 ), 99 – 120""",1
"""1 ), 129 – 131""",1
4 ): 373 – 405,1
"""hirosue et al ., 2015""",2
open hardware communitas around shenzhen prior,1
numerous ‘ bellies ’ compete,1
"""ames et al ., 2014""",1
delivery mechanisms without immediately incurring,1
"""arner et al ., 2017""",1
1 ): 5 – 14,1
extractive moves ‘ cannibalizing ’,1
ie 28 bittie dapnia bitcoin account,1
3 ): 1039 – 60,1
"""1 ), 55 – 74""",1
liminaridade da cultura maker e,2
"""2 ), 115 – 138""",1
professional (‘ big ’) science,1
"""3 ), 115 – 126""",1
world transformers ‘ giving birth ’,1
performed superior artisanal knowledge along drebbel ’,1
move around tiny plastic beads,1
utopias .” new formations 98,1
‘ oldest molecule ’ showing,1
"""2 ), 56 – 62""",1
"""5 ), 67 – 74""",1
1 ): 14 – 29,1
‘ open source estrogen ’ project,1
"""1 ), 107 – 125""",1
"""dickel et al ., 2014""",1
7729 ): 59 – 64,1
98 ): 9 – 28,1
‘ oldest ’ communication channel,1
"""gershenfeld et al ., 2004""",1
carl schmitt 1938 interpretation explains leviathan,1
1 ): 32 – 37,1
"""vertesi et al ., 2011""",1
open hardware 3d printing efforts created,1
another ‘ open insulin project ’,1
‘ pathetic dot theory ’,1
1 ): 125 – 42,1
"""hacker et al ., 2019""",2
"""hobbesian leviathan ), sandboxes teach citizens""",1
algorithmic rule .............................................................. 22 transgressive subjects,1
"""2009 ), ‘ adversarial design ’""",1
‘ open insulin project ’ shows,1
driven markets .” internet policy review 7,1
mantis shrimp invention – confluence,1
‘ artisan ’ prototyping works like metaphors,1
"""cscw ), 1 – 26""",1
workshops showed many unexpected uses beyond research,1
whole thing since biofiction vienna 2014,1
"""cscw ), 1 – 35""",1
ocsdnet project ‘ understanding open hardware,1
future making ................................................. 129 regulatory sandboxes,1
daphnia zooplankton https :// onename,1
"""micheli et al ., 2020""",1
"""4 ), 76 – 81""",1
‘ open source estrogen ’ questions,1
"""2 ), 330 – 337""",2
"""2 ), 119 – 137""",1
biblical fall like thales ’ fall,1
literally meant ‘ blind ’,1
"""2 ), 243 – 275""",1
leviathans ....................................................................... 140 technological commonwealth,1
"""3 ), 276 – 286""",1
algorithmic rule ................................................................................................... 17 algorithmic rule,1
big data ..................................................................................................... 19 future,1
"""1 ), 85 – 102""",2
current osh prototype repositories emphasize mainly,1
‘ exemplary ’ way transforming present,1
"""savransky et al ., 2017""",1
"""danaher et al ., 2017""",1
time stamping techniques simply shifted,1
"""2 ), 85 – 95""",1
flights toward new celestial loves,1
thales ’ ambiguous ‘ contraption ’,1
serious ‘ two generals ’ problems,1
transhackfeminist ‘ gynepunk mobile labs,1
maintain supposedly ‘ neutral ’ rules,1
‘ citizen biotech economies ’,1
"""4 ), 209 – 249""",1
original ‘ artisanal epistemology ’ defined,1
idealized ‘ imagined community ’ beyond history,1
"""chapter 3 ), renaissance prototypes express idiosyncratic""",1
informal repositories ....................................................................................... 76 prototyping,1
"""liu et al ., 2007""",1
"""1 ), 93 – 124""",1
open science hardware .” bulletin,1
governance machines promising automated future biopolitics,1
legacy come alive without compromising,1
"""3 ), 46 – 54""",1
"""davies et al ., 2015""",1
another 18th century air pump used,1
reusable ‘ code ’ included,1
"""1 ), 5 – 14""",1
berkman klein center research publication,1
laboratory platform meeting future targets without,1
governance machines ....................................................................................... 25 arbitrary power,1
21 pecheblenda official website,1
‘ constantly invent new things ’,1
pizzaprinter 6 http :// www,1
"""lindtner et al ., 2016""",1
‘ big science ’ status quo,2
emphatically suggesting masculine imperial power,1
"""kera et al ., 2019""",2
public sandboxes ................................................................................. 13 references,1
various global south universities lacking infrastructure,1
arbitrary models become ‘ factual ’,1
making possible privy virtual intermediation,1
"""oliver et al ., n""",1
‘ moving without knowing ’,1
"""2 ), 65 – 82""",1
discriminatory contract excluding certain nationalities,1
formae vitae ....................................................................................... 43 care,1
active science ‘ citizenship ’ insisting,1
famous michael curtiz film noire,1
"""kera et al ., 2013""",1
‘ sun state ’ becomes literal,1
human rights (‘ privileges one,1
1 ): 1 – 13,1
ideals become ‘ neutral ’ infrastructures,1
74 bioautonomy http :// hackteria,1
governance beyond ‘ advantageous ’ monopolies,1
omer reused several medical devices,1
"""hormones ), reflect upon possible futures""",1
printable speculum http :// www,1
remained radically open source advocates,1
artificially constructed ‘ sovereign ’,1
‘ prewritten ’ smart contracts,1
"""1 ), 17 – 49""",1
participants tested possible algorithmic sovereignty beyond leviathan,1
estrogen ‘ public ’ remains plural,1
‘ open source appropriate technology ’,1
particularly broad human rights ’),1
"""‘ automated body politics ’, beginning""",1
collaborative tinkering also included geopolitical lessons,1
‘ lawmakers ’ like thales balance,1
generate new ‘ ecologies ’,1
science ‘ cargo cult ’,1
html 38 osat project repository wiki,1
acm sigops operating systems review,1
experimental governance ................................................................. 131 exploratory,1
‘ hungry parasites ’ accuse,1
classical antiquity .” endeavour 3,1
nalareksa sound installation using o2,1
tdcs 8 http :// www,1
modern ‘ capitalist ’ societies,1
‘ hacked ’ insulin pump,1
cynical pr campaign around 2015,1
‘ brain uploading ’ performance,1
‘ actions ’ beyond osh prototyping,1
"""‘ whole ’, thales crosses""",1
‘ vietnam project ’ captures,1
37 open sustainability lab website,1
tedx conferences describing ‘ comedies,1
atomic force microscope official website,1
176 billion per year industry,1
compact integrated desktop biolab,1
insulin ‘ public ’ demanded,1
‘ exploratory science ’ actions .’,1
institutional hacks ............................................................................................ 75 governance,1
‘ cognitive technologies .’” blog,1
2 ): 1 – 13,1
true future ‘ smart village ’,1
classic 18th century painting ‘,1
‘ new ’ organizational models,1
optatives serving ‘ future anterior ’,1
algorithms ...................................... 121 dining philosophers,1
